name,location,property,price,bedrooms,property_lot_size,property_living_size,bathrooms,Pool,link
Oceania Pent House Arashi Building! ,"238 J.E. Irausquin Boulevard Eagle Beach, Eagle Beach",Condominium for sale, 0 ,4,,,,,https://www.mpgaruba.com/property/condominium-318-oceania-pent-house-arashi-building
Property Land in Ponton ,"Ponton Sombre 2, Ponton",Property Land for sale, 80 ,"9,750 m2",,,,,https://www.mpgaruba.com/property/property-land-180-property-land-in-ponton
Home at Ponton with Apartment! ,"Dabaruidastraat 8, Ponton, Ponton",Residential for sale," 225,000 ",4,658 m2,256 m2,3,,https://www.mpgaruba.com/property/residential-319-home-at-ponton-with-apartment
Nice One bedroom Apartment ,"Rooi  Santo 7a, Rooi Santo",Condominium for sale," 230,000 ",1,80 m2,Property land,1,,https://www.mpgaruba.com/property/condominium-187-nice-one-bedroom-apartment
Home with a Large Parcel Property of Land! ,"Savaneta 349-G, Savaneta",Residential for sale," 255,000 ",4,499 m2,Property land,"2,318 m2",,https://www.mpgaruba.com/property/residential-250-home-with-a-large-parcel-property-of-land
HOOIBERG HOUSE plus 2 Apartments ! ,"Hoooberg 21 B, Hooiberg",Residential for sale," 268,000 ",5,637 m2,194 m2,3,,https://www.mpgaruba.com/property/residential-376-hooiberg-house-plus-2-apartments
Corner House / Business Avenida Milo J Croes ,"Avenida Milo J Croes 10, Oranjestad",Commercial for sale," 310,000 ",4,,,,,https://www.mpgaruba.com/property/commercial-399-corner-house-business-avenida-milo-j-croes
CATALINA ESTATES ARUBA ,"TIERRA DEL SOL, Malmok",Lease Land for sale," 321,600 ",4,,,,,https://www.mpgaruba.com/property/lease-land-293-catalina-estates-aruba
Private Residence House - Siribana ,"Siribana 20 Y, Santa Cruz",Property Land for sale," 328,000 ",3,750 m2,164 m2,2,,https://www.mpgaruba.com/property/property-land-407-private-residence-house-siribana
PONTON VILLA ,"Bushi Straat 1, Ponton",Residential for sale," 336,500 ",3,695 m2,394 m2,3,,https://www.mpgaruba.com/property/residential-370-ponton-villa
